Category,Cell Name,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,sales_30,sales_31,sales_32,diff,lost_outlets,new_outlets,common_outlets,acv_pf_30,acv_pf_31,acv_pf_32,sales_vol_30,sales_vol_31,sales_vol_32,weighted_change,sales_val_30,sales_val_31,sales_val_32,val_change,Local (Other than PTC-PMI)_30,Local (Other than PTC-PMI)_31,Local (Other than PTC-PMI)_32,Philip Morris Pak Ltd_30,Philip Morris Pak Ltd_31,Philip Morris Pak Ltd_32,Pakistan Tobacco Company_30,Pakistan Tobacco Company_31,Pakistan Tobacco Company_32,ITB_30,ITB_31,ITB_32
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Ks-Handler-Ttl,RAHIM YAR KHAN,Urban,2459254.113000,2459254.113000,2459254.113000,3260.730954,3260.730954,3260.730954,567,567,565,2746477.501100,2746477.501100,2738084.586386,158,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.8954211756750370999789582074,0.8954211756750370999789582074,0.8981658657397328395845485848,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Ks-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,1026.501010,1026.501010,1026.501010,567,567,565,2746477.501100,2746477.501100,2738084.586386,252,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-SP-Punjab-Multan-City-ROA-Departmental Store/Super Markets-Total-TTL,RAHIM YAR KHAN,Urban,2902.013889,2902.013889,2902.013889,33.558333,33.558333,33.558333,567,567,565,2746477.501100,2746477.501100,2738084.586386,130,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.001056631225938572462897500632,0.001056631225938572462897500632,0.001059870065164922613112559216,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-SP-Punjab-Multan-ROA-Kiosk/Hawker-Handler-LRG,RAHIM YAR KHAN,Urban,10398.818280,10398.818280,10398.818280,1.628959,1.628959,1.628959,567,567,565,2746477.501100,2746477.501100,2738084.586386,139,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.003786238290987323901220360884,0.003786238290987323901220360884,0.003797844059202498353039497968,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Canteen-Total-Ttl,RAHIM YAR KHAN,Urban,27016.966270,27016.966270,27016.966270,79.547619,79.547619,79.547619,567,567,565,2746477.501100,2746477.501100,2738084.586386,98,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.009836951607715465803565835735,0.009836951607715465803565835735,0.009867104326992218687352489112,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Corner/Snack Shop-Handler-Ttl,RAHIM YAR KHAN,Urban,104742.700000,104742.700000,104742.700000,425.398165,425.398165,425.398165,567,567,565,2746477.501100,2746477.501100,2738084.586386,260,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.03813710469430358881012717283,0.03813710469430358881012717283,0.03825400446749892856507443688,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Corner/Snack Shop-Non Handler-Ttl,RAHIM YAR KHAN,Urban,0.000000,0.000000,0.000000,569.686905,569.686905,569.686905,567,567,565,2746477.501100,2746477.501100,2738084.586386,157,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0,0,0,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-Eating Place/Highway Hotel-Total-Ttl,RAHIM YAR KHAN,Urban,421.865714,421.865714,421.865714,349.000000,349.000000,349.000000,567,567,565,2746477.501100,2746477.501100,2738084.586386,160,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.0001536024649140716749343554271,0.0001536024649140716749343554271,0.0001540732949221341944912640478,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Lrg,RAHIM YAR KHAN,Urban,226255.444500,226255.444500,226255.444500,49.566201,49.566201,49.566201,567,567,565,2746477.501100,2746477.501100,2738084.586386,104,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.08238022864173536775527602009,0.08238022864173536775527602009,0.08263274466572807351504843672,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Med,RAHIM YAR KHAN,Urban,385007.641500,385007.641500,385007.641500,425.398165,425.398165,425.398165,567,567,565,2746477.501100,2746477.501100,2738084.586386,289,309930.000000,243778.000000,323655.000000,79877.000000,2,0,565,0.1401823395042556971776825891,0.1401823395042556971776825891,0.1406120334683202351153473055,6198600.000000,4875560.000000,6473100.000000,1597540.000000,18610009.000000,15975318.000000,21110982.000000,5135664.000000,173838.000000,138572.000000,183506.000000,43557.000000,42113.000000,51348.000000,84935.000000,56207.000000,77660.000000,5911.000000,6886.000000,9243.000000
