Category,Cell Name,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,sales_30,sales_31,sales_32,diff,lost_outlets,new_outlets,common_outlets,acv_pf_30,acv_pf_31,acv_pf_32,sales_vol_30,sales_vol_31,sales_vol_32,weighted_change,sales_val_30,sales_val_31,sales_val_32,val_change,Local (Other than PTC-PMI)_30,Local (Other than PTC-PMI)_31,Local (Other than PTC-PMI)_32,_30,_31,_32,Philip Morris Pak Ltd_30,Philip Morris Pak Ltd_31,Philip Morris Pak Ltd_32,Pakistan Tobacco Company_30,Pakistan Tobacco Company_31,Pakistan Tobacco Company_32,ITB_30,ITB_31,ITB_32
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Lrg,SHEIKHUPURA,Urban,226255.444500,226255.444500,226255.444500,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,104,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.006731542840494391682431244168,0.006731522812894924670489913065,0.006735029558378183462871772850,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Med,SHEIKHUPURA,Urban,385007.641500,385007.641500,385007.641500,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,289,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.01145473178955901958695217300,0.01145469770958868896834651013,0.01146066496403789735143617320,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Handler-Sml,SHEIKHUPURA,Urban,120569.364400,120569.364400,120569.364400,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,218,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.003587174856734903397718598352,0.003587164184218520281870380604,0.003589032895377995091495093950,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General Store-Non Handler-Ttl,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,253,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0,0,0,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Handler-Ttl,SHEIKHUPURA,Urban,13253.091120,13253.091120,13253.091120,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,264,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.0003943054313694351731554967381,0.0003943042582369996742488943416,0.0003945096686196182335559962291,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-City-General-Medical Store-Non Handler-Ttl,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,264,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0,0,0,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-General Store-Handler-Lrg,SHEIKHUPURA,Urban,287429.212200,287429.212200,287429.212200,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,23,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.008551582304724840598474283751,0.008551556862167425983940290552,0.008556011743215112697101534809,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-General Store-Handler-Med,SHEIKHUPURA,Urban,441677.587300,441677.587300,441677.587300,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,78,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.01314077372664573230845465786,0.01314073463038516917049141910,0.01314758021541736014594762055,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-General Store-Handler-Sml,SHEIKHUPURA,Urban,102533.252800,102533.252800,102533.252800,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,67,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0.003050565193353574920743797071,0.003050556117351343609661949841,0.003052145285832724538053761175,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
CIGARETTES,National-Total Urban-Sp-Punjab-Multan-Roa-General Store-Non Handler-Ttl,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,141,350396.000000,281650.000000,359244.000000,77594.000000,1,0,5104,0,0,0,7007920.000000,5633000.000000,7184880.000000,1551880.000000,21156389.000000,17059530.000000,21667367.000000,4607837.000000,194944.000000,159530.000000,201307.000000,2274.000000,,1002.000000,48089.000000,40363.000000,50987.000000,97345.000000,76546.000000,98265.000000,7744.000000,5211.000000,7683.000000
