RBD Name,Cell Name,Category,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,acv_pf_30,acv_pf_31,acv_pf_32
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-General-Medical Store-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,13.125000,13.125000,13.125000,567,567,567,2746477.501100,2746477.501100,2746477.500330,244,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Kiosk/Hawker-Total-Ttl,CIGARETTES,MULTAN,Urban,67873.220650,67873.220650,67873.220650,76.791667,76.791667,76.791667,567,567,567,2746477.501100,2746477.501100,2746477.500330,241,0.02471282601907930845201271836,0.02471282601907930845201271836,0.02471282602600777447163409656
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Kiryana Store-Handler-Lrg,CIGARETTES,MULTAN,Urban,213955.256800,213955.256800,213955.256800,66.088675,66.088675,66.088675,567,567,567,2746477.501100,2746477.501100,2746477.500330,78,0.07790169652375019778020201602,0.07790169652375019778020201602,0.07790169654559064843602581343
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Kiryana Store-Handler-Med,CIGARETTES,MULTAN,Urban,260731.709200,260731.709200,260731.709200,340.933642,340.933642,340.933642,567,567,567,2746477.501100,2746477.501100,2746477.500330,160,0.09493313129110781194449304859,0.09493313129110781194449304859,0.09493313131772318057044026409
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Kiryana Store-Handler-Sml,CIGARETTES,MULTAN,Urban,111081.583000,111081.583000,111081.583000,452.130461,452.130461,452.130461,567,567,567,2746477.501100,2746477.501100,2746477.500330,170,0.04044510940122771064341488991,0.04044510940122771064341488991,0.04044510941256686570119468822
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Kiryana Store-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,279.875000,279.875000,279.875000,567,567,567,2746477.501100,2746477.501100,2746477.500330,158,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Pan/Cigarette Shop-Handler-Lrg,CIGARETTES,MULTAN,Urban,32022.515000,32022.515000,32022.515000,6.965328,6.965328,6.965328,567,567,567,2746477.501100,2746477.501100,2746477.500330,284,0.01165948564558586982411308419,0.01165948564558586982411308419,0.01165948564885471289529149419
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Pan/Cigarette Shop-Handler-Med,CIGARETTES,MULTAN,Urban,30076.094840,30076.094840,30076.094840,13.930657,13.930657,13.930657,567,567,567,2746477.501100,2746477.501100,2746477.500330,134,0.01095078872044432638079548840,0.01095078872044432638079548840,0.01095078872351447980958890858
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Pan/Cigarette Shop-Handler-Sml,CIGARETTES,MULTAN,Urban,63218.443360,63218.443360,63218.443360,85.131792,85.131792,85.131792,567,567,567,2746477.501100,2746477.501100,2746477.500330,45,0.02301800882573412317839576858,0.02301800882573412317839576858,0.02301800883218743175044330329
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Roa-Canteen-Total-Ttl,CIGARETTES,MULTAN,Urban,11682.283310,11682.283310,11682.283310,91.731718,91.731718,91.731718,567,567,567,2746477.501100,2746477.501100,2746477.500330,245,0.004253551432815704269888511849,0.004253551432815704269888511849,0.004253551434008226183093539037
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Roa-Departmental Store/Super Markets-Total-Ttl,CIGARETTES,MULTAN,Urban,104778.213500,104778.213500,104778.213500,122.865172,122.865172,122.865172,567,567,567,2746477.501100,2746477.501100,2746477.500330,300,0.03815003525717394779935705187,0.03815003525717394779935705187,0.03815003526786965790238697127
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-City-Roa-Petro Mart-Total-Ttl,CIGARETTES,MULTAN,Urban,14008.150770,14008.150770,14008.150770,15.651615,15.651615,15.651615,567,567,567,2746477.501100,2746477.501100,2746477.500330,95,0.005100406161852610560968414408,0.005100406161852610560968414408,0.005100406163282555916120469419
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Corner/Snack Shop-Handler-Ttl,CIGARETTES,BAHAWALPUR,Urban,142476.407900,142476.407900,142476.407900,143.213769,143.213769,143.213769,6,6,6,72732.003600,72732.003600,72732.003790,345,1.958923181651495161065520268,1.958923181651495161065520268,1.958923176534141243683724996
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Corner/Snack Shop-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,210.374946,210.374946,210.374946,567,567,567,2746477.501100,2746477.501100,2746477.500330,297,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Eating Place/Highway Hotel-Total-Ttl,CIGARETTES,MULTAN,Urban,37283.047150,37283.047150,37283.047150,696.355657,696.355657,696.355657,567,567,567,2746477.501100,2746477.501100,2746477.500330,65,0.01357485984686481289886726027,0.01357485984686481289886726027,0.01357485985067064858506166024
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-General Store-Handler-Lrg,CIGARETTES,MULTAN,Urban,852278.683300,852278.683300,852278.683300,302.817084,302.817084,302.817084,567,567,567,2746477.501100,2746477.501100,2746477.500330,287,0.3103170089537057158308865493,0.3103170089537057158308865493,0.3103170090407059176769396608
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-General Store-Handler-Med,CIGARETTES,MULTAN,Urban,1293500.424000,1293500.424000,1293500.424000,1611.120729,1611.120729,1611.120729,567,567,567,2746477.501100,2746477.501100,2746477.500330,213,0.4709670563410536725769065868,0.4709670563410536725769065868,0.4709670564730935794536380213
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-General Store-Handler-Sml,CIGARETTES,MULTAN,Urban,321250.747900,321250.747900,321250.747900,1256.439946,1256.439946,1256.439946,567,567,567,2746477.501100,2746477.501100,2746477.500330,234,0.1169682794675488485107546909,0.1169682794675488485107546909,0.1169682795003419717674319740
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-General Store-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,1145.265958,1145.265958,1145.265958,567,567,567,2746477.501100,2746477.501100,2746477.500330,107,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-General-Medical Store-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,163.434995,163.434995,163.434995,567,567,567,2746477.501100,2746477.501100,2746477.500330,85,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiosk/Hawker-Handler-Lrg,CIGARETTES,MULTAN,Urban,40672.113420,40672.113420,40672.113420,8.720730,8.720730,8.720730,567,567,567,2746477.501100,2746477.501100,2746477.500330,295,0.01480882818217527323621154713,0.01480882818217527323621154713,0.01480882818632706319222060590
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiosk/Hawker-Handler-Med,CIGARETTES,MULTAN,Urban,31900.289130,31900.289130,31900.289130,15.697313,15.697313,15.697313,567,567,567,2746477.501100,2746477.501100,2746477.500330,179,0.01161498287068563963922726343,0.01161498287068563963922726343,0.01161498287394200595184163644
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiosk/Hawker-Handler-Sml,CIGARETTES,MULTAN,Urban,32561.102410,32561.102410,32561.102410,42.731575,42.731575,42.731575,567,567,567,2746477.501100,2746477.501100,2746477.500330,162,0.01185558680053226524499636652,0.01185558680053226524499636652,0.01185558680385608706232892542
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiosk/Hawker-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,0.000000,0.000000,0.000000,51.813020,51.813020,51.813020,567,567,567,2746477.501100,2746477.501100,2746477.500330,72,0,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiryana Store-Handler-Lrg,CIGARETTES,MULTAN,Urban,1243544.812000,1243544.812000,1243544.812000,437.448856,437.448856,437.448856,567,567,567,2746477.501100,2746477.501100,2746477.500330,102,0.4527780808333380160890916391,0.4527780808333380160890916391,0.4527780809602784778987295917
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiryana Store-Handler-Med,CIGARETTES,MULTAN,Urban,1435539.872000,1435539.872000,1435539.872000,1699.365664,1699.365664,1699.365664,567,567,567,2746477.501100,2746477.501100,2746477.500330,53,0.5226840093993297194900512779,0.5226840093993297194900512779,0.5226840095458689455310896404
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiryana Store-Handler-Sml,CIGARETTES,MULTAN,Urban,379125.242700,379125.242700,379125.242700,1397.959883,1397.959883,1397.959883,567,567,567,2746477.501100,2746477.501100,2746477.500330,282,0.1380405419480608903066320480,0.1380405419480608903066320480,0.1380405419867618144129593639
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Kiryana Store-Non Handler-Ttl,CIGARETTES,MULTAN,Urban,4566.000000,0.000000,0.000000,970.341976,970.341976,970.341976,567,567,567,2746477.501100,2746477.501100,2746477.500330,259,0.001662493138273027012928258209,0,0
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Pan/Cigarette Shop-Handler-Lrg,CIGARETTES,MULTAN,Urban,270809.443900,270809.443900,270809.443900,58.673741,58.673741,58.673741,567,567,567,2746477.501100,2746477.501100,2746477.500330,188,0.09860246216891902140621544377,0.09860246216891902140621544377,0.09860246219656312038789109697
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Pan/Cigarette Shop-Handler-Med,CIGARETTES,MULTAN,Urban,199540.509300,199540.509300,199540.509300,95.683331,95.683331,95.683331,567,567,567,2746477.501100,2746477.501100,2746477.500330,92,0.07265324737598666942890107916,0.07265324737598666942890107916,0.07265324739635566952913418335
Total Bahwalpur,National-Total Urban-Sp-Punjab-Bahwalpur-Roa-Pan/Cigarette Shop-Handler-Sml,CIGARETTES,MULTAN,Urban,232806.380900,232806.380900,232806.380900,287.952665,287.952665,287.952665,567,567,567,2746477.501100,2746477.501100,2746477.500330,79,0.08476544257389984559083778034,0.08476544257389984559083778034,0.08476544259766461001146766311
Total Bahwalpur,national-total rural-sp-punjab-bahwalpur-lrg-rural-ks-handler-ttl,CIGARETTES,MULTAN,Urban,2625254.365000,2625254.365000,2625254.365000,2544.979771,2544.979771,2544.979771,567,567,567,2746477.501100,2746477.501100,2746477.500330,87,0.9558623232662752359730226228,0.9558623232662752359730226228,0.9558623235342599505124998171
