RBD Name,Cell Name,Category,Area,Urbanity,cell_acv_30,cell_acv_31,cell_acv_32,num_universe_30,num_universe_31,num_universe_32,store_30,store_31,store_32,panel_acv_30,panel_acv_31,panel_acv_32,optimal_panel,acv_pf_30,acv_pf_31,acv_pf_32
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Cant-Cs-Ep-Total-Ttl,CIGARETTES,SHEIKHUPURA,Urban,146480.792900,146480.792900,146480.792900,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,157,0.004358090630238675744422555301,0.004358077664103622974337458196,0.004360347977907657164480410981
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,1423327.247000,1423327.247000,1423327.247000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,34,0.04234677472799308761957576242,0.04234664873841490798477024098,0.04236870896510092888867568075
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Gs-Gms-Non Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,189,0,0,0
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Kh-Ps-Pm-Total-Ttl,CIGARETTES,SHEIKHUPURA,Urban,379946.090600,379946.090600,379946.090600,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,290,0.01130414073174828502730199681,0.01130410709981452798645972763,0.01130999590501007936208005966
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,834762.036800,834762.036800,834762.036800,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,115,0.02483580638139099419463156458,0.02483573249022006461515549821,0.02484867051258948569589413032
Total Multan,National-Total Rural-Sp-Punjab-Multan-Lrg-Rural-Ks-Non Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,185,0,0,0
Total Multan,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Cant-Cs-Ep-Total-Ttl,CIGARETTES,SHEIKHUPURA,Urban,300090.520500,300090.520500,300090.520500,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,67,0.008928281037550945994193137606,0.008928254474244318377830722220,0.008932905593600397144112404947
Total Multan,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,11418735.660000,11418735.660000,11418735.660000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,98,0.3397297618602543831124693368,0.3397287511006471456112823839,0.3399057307078726022591522594
Total Multan,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Gs-Gms-Non Handler-Ttl,CIGARETTES,SHEIKHUPURA,Urban,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,64,0,0,0
Total Multan,National-Total Rural-Sp-Punjab-Multan-Med-Rural-Kh-Ps-Pm-Total-Ttl,CIGARETTES,SHEIKHUPURA,Urban,352861.925500,352861.925500,352861.925500,0.000000,0.000000,0.000000,5105,5105,5104,33611231.460778,33611331.460778,33593830.960778,156,0.01049833374631827001632163304,0.01049830251181106648864100043,0.01050377153805348747707678490
